Account,End Customer Name,Site Name,IMSI,IMEI,APN,Attribute Value: FWD,Attribute Value: RTN,Attribute Value: AF,Attribute Value: AF FWD,Attribute Value: AF RTN,Attribute Value: EF,Attribute Value: EF RTN,Attribute Value: EF FWD,Attribute Value: BE,Attribute Value: BE FWD,Attribute Value: BE RTN,Attribute Value: Service Grade,Geolocation,Order: Order Number,Order Line Item: Line Item Id,Site Connectivity ID,Network Slice ID,Interconnect ID,Product,Static IP Address,Attribute Value: Site Connectivity,Network Slice ID,Actual Activation Date,Target Activation Date,Selling Term,Attribute Value: Budgeted Mbps
OneWeb UT - Hughes,OneWeb,Stockholm,901600000000319,351554110000040,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"59.211735, 18.083748",O-00000132,OI-0000000446,SC-0000000411,NS-0000000349,IC-0000000350,Classic 50/10/UG,,IP Access,Network Slice,"24/02/2022, 20:15",01-01-2022,60,12
OneWeb UT - Hughes,OneWeb,Stockholm,901600000000279,351554110000057,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"59.211735, 18.083748",O-00000126,OI-0000000434,SC-0000000399,NS-0000000349,IC-0000000350,Classic 50/10/UG,,IP Access,Network Slice,"24/02/2022, 20:00",01-01-2022,60,12
OneWeb UT - Hughes,OneWeb,Svalbard,901600000001143,351554110006120,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"78.228455, 15.395594",O-00000131,OI-0000000444,SC-0000000409,NS-0000000349,IC-0000000350,Classic 50/10/UG,,IP Access,Network Slice,"24/02/2022, 20:30",07-02-2022,60,12
OneWeb UT - Hughes,OneWeb,Svalbard,901600000001146,351554110003853,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"78.228455, 15.395594",O-00000134,OI-0000000450,SC-0000000415,NS-0000000349,IC-0000000350,Classic 50/10/UG,,IP Access,Network Slice,"24/02/2022, 20:30",01-01-2022,60,12
OneWeb UT - Hughes,OneWeb,Clewiston,901600000000181,351554110000958,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"26.747926, -81.049149",O-00000137,OI-0000000460,SC-0000000425,NS-0000000422,IC-0000000423,Classic 50/10/UG,,IP Access,Network Slice,"10/03/2022, 20:00",01-02-2022,60,12
OneWeb UT - Hughes,OneWeb,Kitty Hawk,901600000000087,351554110001469,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"36.090126, -75.804581",O-00000204,OI-0000000711,SC-0000000661,NS-0000000466,IC-0000000467,Classic 50/10/UG,,IP Access,Network Slice,"14/04/2022, 19:00",11-04-2022,60,12
OneWeb UT - Hughes,OneWeb,Kitty Hawk,901600000000332,351554110000412,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"36.090126, -75.804581",O-00000205,OI-0000000713,SC-0000000663,NS-0000000466,IC-0000000467,Classic 50/10/UG,,IP Access,Network Slice,"14/04/2022, 19:00",11-04-2022,60,12
OneWeb UT - Hughes,OneWeb,Southbury,901600000000357,351554110000206,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"41.4515, -73.28938",O-00000149,OI-0000000504,SC-0000000469,NS-0000000466,IC-0000000467,Classic 50/10/UG,,IP Access,Network Slice,"04/03/2022, 20:00",01-03-2022,60,12
OneWeb UT - Hughes,OneWeb,Lake Forest,901600000001353,351554110001386,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"39.1522, -77.2089",O-00000161,OI-0000000559,SC-0000000524,NS-0000000521,IC-0000000522,Classic 50/10/UG,,IP Access,Network Slice,"14/03/2022, 19:00",09-03-2022,60,12
OneWeb UT - Intellian,OneWeb,Bethesda,901600000000352,351554110000222,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"39.02862, -77.135147",O-00000162,OI-0000000564,SC-0000000529,NS-0000000526,IC-0000000527,Classic 50/10/UG,,IP Access,Network Slice,"16/03/2022, 19:00",14-03-2022,60,12
OneWeb UT - Intellian,OneWeb,Bethesda,901600000000368,351554110000230,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"39.02862, -77.135147",O-00000163,OI-0000000569,SC-0000000534,NS-0000000531,IC-0000000532,Classic 50/10/UG,,IP Access,Network Slice,"16/03/2022, 19:00",14-03-2022,60,12
OneWeb UT - Intellian,OneWeb,Rotterdam,901600000000117,351554110001808,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"51.953279, 4.448593",O-00000164,OI-0000000574,SC-0000000539,NS-0000000536,IC-0000000537,Classic 50/10/UG,,IP Access,Network Slice,"15/03/2022, 19:00",14-03-2022,60,12
OneWeb UT - Intellian,OneWeb,Irvine,901600000000156,351554110000685,sprint.mnc060.mcc901.gprs,50,10,0,0,0,0,0,0,12,10,2,Gold,"33.649938, -117.714755",O-00000165,OI-0000000579,SC-0000000544,NS-0000000541,IC-0000000542,Classic 50/10/UG,,IP Access,Network Slice,"15/03/2022, 19:00",14-03-2022,60,12
OneWeb UT - Alaska,OneWeb,OneWeb Akiak 2,901600000000149,351554110001550,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"60.912144, -161.213931",O-00000155,OI-0000000529,SC-0000000494,NS-0000000491,IC-0000000492,Entry 75/15/500B,,IP Access,Network Slice,"07/03/2022, 12:00",08-03-2022,12,4.76
OneWeb UT Team,OneWeb,Westcott,901600000000963,351554110004810,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"51.8436, -.9715",O-00000210,OI-0000000726,SC-0000000676,NS-0000000675,IC-0000000673,Entry 75/15/500B,,IP Access,Network Slice,"20/04/2022, 11:00",20-04-2022,60,4.76
OneWeb UT Team,OneWeb,Westcott,901600000001380,351554110002301,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"51.8436, -.9715",O-00000211,OI-0000000729,SC-0000000679,NS-0000000675,IC-0000000673,Entry 75/15/500B,,IP Access,Network Slice,"20/04/2022, 11:00",20-04-2022,60,4.76
OneWeb UT Team,OneWeb,Westcott,901600000001246,351554110001782,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"51.8436, -.9715",O-00000212,OI-0000000732,SC-0000000682,NS-0000000675,IC-0000000673,Entry 75/15/500B,,IP Access,Network Slice,"20/04/2022, 11:00",20-04-2022,60,4.76
OneWeb UT Team,OneWeb,Westcott,901600000001380,351554110002301,cbh.customer.mnc060.mcc901.gprs,75,15,0,0,0,0,0,0,0,0,0,Bronze,"51.8436, -.9715",O-00000233,OI-0000000813,SC-0000000679,NS-0000000675,IC-0000000673,Entry 75/15/500B,,IP Access,Network Slice,,20-04-2022,1.76667,4.76
